"person_id","person_name","person__wikidata_item","rank_name","position","rank_item","rank_acquisition_date"
836311,Маслов Андрей Михайлович,Q18245833,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в греческой республике,Q137783787,"10.02.2016"
836348,Лукашевич Александр Казимирович,Q23656173,чрезвычайный и полномочный посол,"постоянный представитель российской федерации | постоянное представительство российской федерации при уставных и других органах содружества независимых государств в минске, республика белоруссия",Q137783787,"10.02.2018"
836412,Соколов Алексей Анатольевич,Q24010799,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | департамент экономического сотрудничества,Q139927408,"03.09.2018"
836511,Байбаков Владимир Викторович,Q15064257,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в королевстве марокко,Q137783787,"09.06.2023"
836601,Громыко Игорь Анатольевич,Q4150279,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике мали,Q137783787,"13.12.2019"
836625,Аржаев Игорь Николаевич,Q140121862,чрезвычайный и полномочный посланник 2 класса,"генеральный консул российской федерации | генеральное консульство российской федерации в сиднее, австралия",Q139927432,"22.12.2015"
836710,Ефимов Александр Владимирович,Q15206633,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в сирийской арабской республике,Q137783787,"03.09.2018"
836737,Гущин Сергей Сергеевич,Q140121931,чрезвычайный и полномочный посланник 2 класса,главный советник департамента | второй европейский департамент,Q139927432,"13.09.2021"
836739,Догадкин Дмитрий Николаевич,Q55104830,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в государстве катар,Q137783787,"09.06.2023"
836752,Топеха Владимир Владимирович,Q140122144,чрезвычайный и полномочный посланник 2 класса,советник-посланник | посольство российской федерации в корейской народно-демократической республике,Q139927432,"13.06.2024"
836805,Хоришко Евгений Викторович,Q140122165,чрезвычайный и полномочный посланник 2 класса,"генеральный консул | генеральное консульство российской федерации в самарканде, республика узбекистан",Q139927432,"27.06.2022"
836851,Башкин Анатолий Геннадьевич,Q47453187,чрезвычайный и полномочный посол,директор департамента | департамент государств африки (южнее сахары),Q137783787,"26.12.2025"
836855,Калабухов Игорь Андреевич,Q109487598,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в боснии и герцеговине,Q137783787,"29.12.2022"
836909,Лабецкий Алексей Казимирович,Q18244769,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в федеративной республике бразилии,Q137783787,"13.09.2021"
836933,Барбин Владимир Владимирович,Q15090153,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в королевстве дания,Q137783787,"26.12.2017"
836951,Сорокин Виктор Александрович,Q18741037,чрезвычайный и полномочный посол,заместитель директора департамента | второй департамент стран снг,Q137783787,"05.12.2013"
836981,Аскальдович Геннадий Иосифович,Q140121783,чрезвычайный и полномочный посол,посол по особым поручениям | группа послов по особым поручениям мид российской федерации,Q137783787,"09.06.2023"
837029,Шведов Андрей Владимирович,Q18280162,чрезвычайный и полномочный посол,заместитель директора департамента | историко-документальный департамент,Q137783787,"13.06.2018"
837083,Жилко Борис Анатольевич,Q109492160,чрезвычайный и полномочный посол, | ,Q137783787,"28.12.2021"
837090,Новиков Алексей Алексеевич,Q70254899,чрезвычайный и полномочный посол, | ,Q137783787,"07.02.2020"
837194,Шуваев Валерьян Владимирович,Q4527247,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в алжирской народной демократической республике,Q137783787,"21.05.2010"
837335,Рамишвили Теймураз Отарович,Q4389751,чрезвычайный и полномочный посол, | ,Q137783787,"28.01.2004"
837422,Лобанов Дмитрий Дмитриевич,Q109486621,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в великом герцогстве люксембург,Q137783787,"28.12.2021"
837467,Андреев Владимир Вадимович,Q140121858,чрезвычайный и полномочный посланник 2 класса,заместитель директора департамента | департамент по работе с соотечественниками за рубежом,Q139927432,"25.05.2006"
837476,Поляков Александр Дмитриевич,Q4718737,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике руанда,Q137783787,"11.06.2019"
837479,Ховаев Игорь Анатольевич,Q21857272,чрезвычайный и полномочный посол,посол по особым поручениям | группа послов по особым поручениям мид российской федерации,Q137783787,"09.02.2023"
837490,Евсиков Алексей Николаевич,Q116264650,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в монголии,Q137783787,"02.10.2023"
837496,Германчук Максим Николаевич,Q140121799,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | первый департамент стран снг,Q139927408,"09.06.2023"
837524,Эйвазов Тимур Рафаилович,Q84725567,чрезвычайный и полномочный посланник 1 класса,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике словении,Q139927408,"09.02.2021"
837627,Гаппоев Александр Сергеевич,Q140121798,чрезвычайный и полномочный посланник 1 класса,директор департамента | департамент безопасности,Q139927408,"08.11.2023"
837699,Баранов Дмитрий Львович,Q72459699,чрезвычайный и полномочный посланник 2 класса,главный советник департамента | консульский департамент,Q139927432,"07.02.2020"
837763,Рудаков Александр Николаевич,Q98593930,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в ливанской республике,Q137783787,"13.02.2024"
837866,Кадышев Леонид Юрьевич,Q72698975,чрезвычайный и полномочный посланник 1 класса,советник-посланник | посольство российской федерации во французской республике,Q139927408,"29.12.2022"
838236,Солтановский Иван Дмитриевич,Q28500596,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в ватикане,Q137783787,"17.10.2016"
838368,Чепик Георгий Юрьевич,Q84721860,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике конго (браззавиль),Q137783787,"02.10.2023"
838373,Забиров Тимур Фатехович,Q109495183,чрезвычайный и полномочный посланник 1 класса,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в объединенных арабских эмиратах,Q139927408,"09.02.2023"
838528,Михайлов Валерий Александрович,Q18246235,чрезвычайный и полномочный посол, | ,Q137783787,"01.10.2019"
838553,Ярахмедов Азим Алаудинович,Q21820702,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике замбии,Q137783787,"13.12.2019"
838562,Дарчиев Александр Никитич,Q18613657,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в соединенных штатах америки,Q137783787,"10.02.2016"
838585,Тарасенко Сергей Михайлович,Q140121840,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | департамент по вопросам новых вызовов и угроз,Q139927408,"18.02.2015"
838592,Батманов Андрей Кимович,Q140121870,чрезвычайный и полномочный посланник 2 класса,главный советник департамента | департамент ситуационно-кризисный центр,Q139927432,"08.06.2020"
838643,Винокуров Владимир Николаевич,Q28497288,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике гватемала,Q137783787,"10.06.2017"
838740,Сафронков Владимир Карпович,Q29225113,чрезвычайный и полномочный посол,посол по особым поручениям | группа послов по особым поручениям мид российской федерации,Q137783787,"02.10.2023"
838829,Ульянов Михаил Иванович,Q56308285,чрезвычайный и полномочный посол,"постоянный представитель российской федерации | постоянное представительство российской федерации при международных организациях в вене, австрийская республика",Q137783787,"10.02.2017"
838897,Буравов Андрей Вячеславович,Q140121891,чрезвычайный и полномочный посланник 2 класса,"генеральный консул российской федерации | генеральное консульство российской федерации в стамбуле, турецкая республика",Q139927432,"17.01.2011"
839222,Будаев Андрей Владимирович,Q19907863,чрезвычайный и полномочный посол, | ,Q137783787,"28.12.2021"
839245,Болтаев Джамшед Мухамедович,Q140121882,чрезвычайный и полномочный посланник 2 класса,"генеральный консул российской федерации | генеральное консульство российской федерации в басре, республика ирак",Q139927432,"08.02.2019"
839263,Ноздрев Николай Станиславович,Q124770979,чрезвычайный и полномочный посланник 1 класса,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в японии,Q139927408,"28.12.2018"
839295,Любинский Дмитрий Евгеньевич,Q21104570,чрезвычайный и полномочный посол,заместитель министра иностранных дел российской федерации | руководство,Q137783787,"10.02.2016"
839317,Андреев Сергей Вадимович,Q4065528,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в словацкой республике,Q137783787,"28.12.2004"
839404,Калачев Александр Александрович,Q140121969,чрезвычайный и полномочный посланник 2 класса,"генеральный консул российской федерации | генеральное консульство российской федерации в стамбуле, турецкая республика",Q139927432,"13.02.2024"
839420,Баздникин Сергей Александрович,Q60827558,чрезвычайный и полномочный посол,директор департамента | историко-документальный департамент,Q137783787,"02.10.2023"
839427,Алимов Александр Сергеевич,Q136815717,чрезвычайный и полномочный посол,заместитель министра иностранных дел российской федерации | руководство,Q137783787,"11.06.2025"
839476,Двинянин Алексей Аркадьевич,Q55104407,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | департамент ситуационно-кризисный центр,Q139927408,"02.10.2020"
839653,Ежов Сергей Павлович,Q140121805,чрезвычайный и полномочный посланник 1 класса,посол по особым поручениям | группа послов по особым поручениям мид российской федерации,Q139927408,"11.06.2025"
839683,Полищук Алексей Анатольевич,Q140121787,чрезвычайный и полномочный посол,директор департамента (член коллегии) | второй департамент стран снг,Q137783787,"09.02.2023"
839903,Гончар Денис Владимирович,Q124771355,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в королевстве бельгия,Q137783787,"13.02.2024"
839914,Тавдумадзе Николай Карлович,Q23656586,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике колумбии,Q137783787,"28.12.2021"
839948,Коронелли Виктор Викторович,Q4233966,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике куба,Q137783787,"10.02.2018"
839973,Спринчан Владимир Иванович,Q41573926,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике эквадор,Q137783787,"02.10.2023"
840009,Соломатин Алексей Владимирович,Q15076897,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в алжирской народной демократической республике,Q137783787,"11.06.2025"
840046,Амбаров Роман Евгеньевич,Q130286610,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в южно-африканской республике и королевстве лесото по совместительству,Q137783787,"01.10.2024"
840212,Васильев Виктор Львович,Q18237276,чрезвычайный и полномочный посол,посол по особым поручениям | группа послов по особым поручениям мид российской федерации,Q137783787,"11.06.2019"
840271,Кемарский Андрей Вадимович,Q4759182,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике ботсвана,Q137783787,"14.12.2012"
840276,Феоктистов Дмитрий Валерьевич,Q60827702,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в аргентинской республике,Q137783787,"01.04.2024"
840280,Азизов Искандер Кубарович,Q16166631,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике союз мьянма,Q137783787,"08.06.2020"
840464,Копыркин Сергей Павлович,Q56307557,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в республике армения,Q137783787,"28.12.2021"
840732,Макаров Николай Валентинович,Q60827474,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | департамент ближнего востока и северной африки,Q139927408,"13.09.2021"
840825,Баранов Анатолий Александрович,Q138609592,чрезвычайный и полномочный посол,директор департамента | управление делами (департамент),Q137783787,"26.12.2025"
840832,Колесников Евгений Иванович,Q140121991,чрезвычайный и полномочный посланник 2 класса,начальник отдела в департаменте | департамент лингвистического обеспечения,Q139927432,"10.06.2022"
840890,Векленко Андрей Викторович,Q28497262,чрезвычайный и полномочный посланник 1 класса,заместитель директора департамента | департамент северной америки,Q139927408,"05.05.2016"
840894,Исаков Алексей Викторович,Q109486604,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в восточной республике уругвай,Q137783787,"13.09.2021"
840921,Запевалов Владимир Васильевич,Q140121807,чрезвычайный и полномочный посланник 1 класса,посол по особым поручениям | группа послов по особым поручениям мид российской федерации,Q139927408,"09.06.2023"
840928,Зуев Георгий Викторович,Q60836056,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в новой зеландии,Q137783787,"02.10.2023"
841014,Антонюк Владислав Викторович,Q140121861,чрезвычайный и полномочный посланник 2 класса,заместитель директора департамента | департамент по вопросам нераспространения и контроля над вооружениями,Q139927432,"10.02.2016"
841087,Козлов Сергей Георгиевич,Q15069041,чрезвычайный и полномочный посол,чрезвычайный и полномочный посол российской федерации | посольство российской федерации в королевстве саудовская аравия,Q137783787,"10.02.2018"
