person_id,diplomat_id,family_name,name,patronymic,wiki_url
1721815,51,ГОЛУБОВСКИЙ,ИГОРЬ,ЛЕОНИДОВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D1%83%D0%B1%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87"
839903,52,ГОНЧАР,ДЕНИС,ВЛАДИМИРОВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BD%D1%87%D0%B0%D1%80,_%D0%94%D0%B5%D0%BD%D0%B8%D1%81_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
846139,53,ГОРЛАЧ,ЮРИЙ,АНДРЕЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BB%D0%B0%D1%87,_%D0%AE%D1%80%D0%B8%D0%B9_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87"
1722362,400,ГРИГОРЬЕВ,АЛЕКСАНДР,ВЛАДИМИРОВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
1722293,54,ГРИГОРЬЕВ,СЕМЕН,ВЯЧЕСЛАВОВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2,_%D0%A1%D0%B5%D0%BC%D0%B5%D0%BD_%D0%92%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2%D0%BE%D0%B2%D0%B8%D1%87"
1722294,55,ГРИЦАЙ,СЕРГЕЙ,НИКОЛАЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D1%86%D0%B0%D0%B9,_%D0%A1%D0%B5%D1%80%D0%B3%D0%B5%D0%B9_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
835957,56,ГРОЗОВ,АНДРЕЙ,ЮРЬЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%BE%D0%B7%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
836601,57,ГРОМЫКО,ИГОРЬ,АНАТОЛЬЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%BE%D0%BC%D1%8B%D0%BA%D0%BE,_%D0%98%D0%B3%D0%BE%D1%80%D1%8C_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
836046,60,ГУСЬКОВ,АНДРЕЙ,АНАТОЛЬЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%93%D1%83%D1%81%D1%8C%D0%BA%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
838562,61,ДАРЧИЕВ,АЛЕКСАНДР,НИКИТИЧ,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D1%80%D1%87%D0%B8%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D0%B8%D1%87"
1722305,228,ДАУДОВ,ТУРКО,,"https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D1%83%D0%B4%D0%BE%D0%B2,_%D0%A2%D1%83%D1%80%D0%BA%D0%BE_%D0%98%D0%BB%D0%BC%D0%B0%D0%B4%D0%B8%D0%B5%D0%B2%D0%B8%D1%87"
839476,229,ДВИНЯНИН,АЛЕКСЕЙ,АРКАДЬЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%94%D0%B2%D0%B8%D0%BD%D1%8F%D0%BD%D0%B8%D0%BD,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
1722035,62,ДЕДОВ,АЛЕКСЕЙ,ЮРЬЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%B4%D0%BE%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B9_%D0%AE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87"
1721821,230,ДЕЙНЕГО,ВЛАДИСЛАВ,НИКОЛАЕВИЧ,"https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%B9%D0%BD%D0%B5%D0%B3%D0%BE,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87"
